Date,Time,,Temp,Weather,Wind,,Humidity,Barometer,Visibility
2020-01-02,02:30,,21 °C,Overcast.,24 km/h,↑,78%,1018 mbar,N/A
2020-01-02,03:00,,21 °C,Overcast.,26 km/h,↑,78%,1017 mbar,N/A
2020-01-02,03:30,,20 °C,Partly cloudy.,28 km/h,↑,83%,1017 mbar,N/A
2020-01-02,04:00,,21 °C,Partly cloudy.,26 km/h,↑,78%,1017 mbar,N/A
2020-01-02,04:30,,20 °C,Passing clouds.,24 km/h,↑,83%,1017 mbar,9 km
2020-01-02,05:00,,21 °C,Partly cloudy.,26 km/h,↑,78%,1017 mbar,9 km
2020-01-02,05:30,,21 °C,Passing clouds.,28 km/h,↑,78%,1018 mbar,6 km
2020-01-02,06:00,,20 °C,Partly sunny.,24 km/h,↑,83%,1018 mbar,6 km
2020-01-02,06:30,,21 °C,Broken clouds.,22 km/h,↑,78%,1018 mbar,6 km
2020-01-02,07:00,,21 °C,Partly sunny.,19 km/h,↑,69%,1019 mbar,N/A
2020-01-02,07:30,,22 °C,Partly sunny.,19 km/h,↑,65%,1019 mbar,N/A
2020-01-02,08:00,,22 °C,Broken clouds.,19 km/h,↑,65%,1019 mbar,N/A
2020-01-02,08:30,,21 °C,Broken clouds.,19 km/h,↑,78%,1019 mbar,9 km
2020-01-02,09:00,,21 °C,Broken clouds.,15 km/h,↑,73%,1019 mbar,9 km
2020-01-02,09:30,,22 °C,Partly sunny.,13 km/h,↑,73%,1019 mbar,8 km
2020-01-02,10:00,,22 °C,Broken clouds.,15 km/h,↑,73%,1019 mbar,9 km
2020-01-02,10:30,,23 °C,Broken clouds.,15 km/h,↑,61%,1019 mbar,N/A
2020-01-02,11:00,,23 °C,Partly sunny.,15 km/h,↑,57%,1019 mbar,N/A
2020-01-02,12:00,,24 °C,Partly sunny.,17 km/h,↑,50%,1019 mbar,N/A
2020-01-02,12:30,,25 °C,Partly sunny.,17 km/h,↑,51%,1018 mbar,N/A
2020-01-02,13:00,,25 °C,Partly sunny.,19 km/h,↑,51%,1018 mbar,N/A
2020-01-02,13:30,,24 °C,Partly sunny.,19 km/h,↑,50%,1018 mbar,N/A
2020-01-02,14:00,,24 °C,Partly sunny.,20 km/h,↑,50%,1017 mbar,N/A
2020-01-02,14:30,,25 °C,Broken clouds.,22 km/h,↑,54%,1017 mbar,N/A
2020-01-02,15:00,,25 °C,Partly sunny.,24 km/h,↑,57%,1017 mbar,N/A
2020-01-02,15:30,,25 °C,Broken clouds.,24 km/h,↑,54%,1017 mbar,N/A
2020-01-02,16:00,,24 °C,Broken clouds.,24 km/h,↑,57%,1017 mbar,N/A
2020-01-02,16:30,,25 °C,Partly sunny.,26 km/h,↑,54%,1016 mbar,N/A
2020-01-02,17:00,,24 °C,Scattered clouds.,24 km/h,↑,57%,1016 mbar,N/A
2020-01-02,17:30,,24 °C,Passing clouds.,22 km/h,↑,65%,1016 mbar,N/A
2020-01-02,18:00,,23 °C,Scattered clouds.,20 km/h,↑,69%,1016 mbar,N/A
2020-01-02,18:30,,24 °C,Scattered clouds.,22 km/h,↑,69%,1016 mbar,N/A
2020-01-02,19:00,,23 °C,Broken clouds.,19 km/h,↑,69%,1017 mbar,N/A
2020-01-02,19:30,,23 °C,Broken clouds.,19 km/h,↑,69%,1017 mbar,N/A
2020-01-02,20:00,,24 °C,Partly sunny.,17 km/h,↑,69%,1017 mbar,N/A
2020-01-02,20:30,,22 °C,Passing clouds.,19 km/h,↑,73%,1018 mbar,N/A
2020-01-02,21:00,,23 °C,Partly cloudy.,19 km/h,↑,74%,1018 mbar,N/A
2020-01-02,21:30,,23 °C,Passing clouds.,15 km/h,↑,74%,1018 mbar,N/A
2020-01-02,22:00,,23 °C,Passing clouds.,13 km/h,↑,74%,1018 mbar,N/A
2020-01-02,22:30,,23 °C,Passing clouds.,13 km/h,↑,78%,1019 mbar,N/A
2020-01-02,23:00,,23 °C,Partly cloudy.,11 km/h,↑,78%,1019 mbar,9 km
2020-01-02,23:30,,22 °C,Partly cloudy.,13 km/h,↑,83%,1019 mbar,N/A
2020-01-03,"00:00 Fri, 3 Jan",,21 °C,Scattered showers. Partly cloudy.,11 km/h,↑,88%,1019 mbar,N/A
2020-01-03,00:30,,22 °C,Scattered showers. Partly cloudy.,9 km/h,↑,83%,1018 mbar,N/A
2020-01-03,01:00,,22 °C,Partly cloudy.,7 km/h,↑,83%,1018 mbar,N/A
2020-01-03,01:30,,22 °C,Passing clouds.,9 km/h,↑,83%,1018 mbar,N/A
2020-01-03,02:00,,22 °C,Passing clouds.,11 km/h,↑,83%,1017 mbar,N/A
2020-01-03,02:30,,22 °C,Passing clouds.,9 km/h,↑,83%,1017 mbar,N/A
2020-01-03,03:00,,22 °C,Passing clouds.,9 km/h,↑,83%,1016 mbar,9 km
2020-01-03,03:30,,22 °C,Scattered showers. Passing clouds.,11 km/h,↑,83%,1016 mbar,N/A
2020-01-03,04:00,,22 °C,Passing clouds.,13 km/h,↑,83%,1016 mbar,N/A
2020-01-03,04:30,,22 °C,Passing clouds.,11 km/h,↑,83%,1016 mbar,9 km
2020-01-03,05:00,,22 °C,Scattered showers. Passing clouds.,9 km/h,↑,83%,1016 mbar,9 km
2020-01-03,05:30,,22 °C,Scattered showers. Passing clouds.,13 km/h,↑,83%,1016 mbar,8 km
2020-01-03,06:00,,22 °C,Partly sunny.,9 km/h,↑,83%,1016 mbar,N/A
2020-01-03,06:30,,22 °C,Partly sunny.,9 km/h,↑,83%,1017 mbar,N/A
2020-01-03,07:00,,22 °C,Partly sunny.,7 km/h,↑,83%,1017 mbar,N/A
2020-01-03,07:30,,22 °C,Broken clouds.,2 km/h,↑,88%,1017 mbar,N/A
2020-01-03,08:00,,22 °C,Broken clouds.,4 km/h,↑,88%,1017 mbar,N/A
2020-01-03,08:30,,24 °C,Partly sunny.,9 km/h,↑,78%,1017 mbar,N/A
2020-01-03,09:00,,24 °C,Broken clouds.,6 km/h,↑,74%,1017 mbar,N/A
2020-01-03,09:30,,24 °C,Broken clouds.,4 km/h,↑,74%,1017 mbar,N/A
2020-01-03,10:00,,25 °C,Broken clouds.,4 km/h,↑,74%,1017 mbar,N/A
2020-01-03,10:30,,25 °C,Partly sunny.,6 km/h,↑,74%,1016 mbar,N/A
2020-01-03,11:00,,26 °C,Broken clouds.,9 km/h,↑,65%,1016 mbar,N/A
2020-01-03,12:00,,28 °C,Broken clouds.,17 km/h,↑,62%,1015 mbar,N/A
2020-01-03,12:30,,28 °C,Partly sunny.,22 km/h,↑,62%,1014 mbar,N/A
2020-01-03,13:00,,29 °C,Scattered clouds.,22 km/h,↑,55%,1014 mbar,N/A
2020-01-03,13:30,,30 °C,Passing clouds.,26 km/h,↑,55%,1013 mbar,N/A
2020-01-03,14:00,,29 °C,Passing clouds.,30 km/h,↑,58%,1013 mbar,N/A
2020-01-03,14:30,,29 °C,Sunny.,32 km/h,↑,58%,1013 mbar,16 km
2020-01-03,15:00,,29 °C,Sunny.,33 km/h,↑,55%,1012 mbar,16 km
2020-01-03,15:30,,29 °C,Sunny.,35 km/h,↑,55%,1012 mbar,16 km
2020-01-03,16:00,,27 °C,Partly sunny.,35 km/h,↑,62%,1012 mbar,N/A
2020-01-03,16:30,,27 °C,Partly sunny.,35 km/h,↑,62%,1011 mbar,N/A
2020-01-03,17:00,,29 °C,Sunny.,33 km/h,↑,58%,1011 mbar,16 km
2020-01-03,17:30,,28 °C,Sunny.,37 km/h,↑,58%,1011 mbar,16 km
2020-01-03,18:00,,28 °C,Sunny.,35 km/h,↑,58%,1010 mbar,16 km
2020-01-03,18:32,,27 °C,Passing clouds.,39 km/h,↑,70%,1011 mbar,N/A
2020-01-03,19:00,,26 °C,Passing clouds.,33 km/h,↑,74%,1011 mbar,N/A
2020-01-03,20:04,,25 °C,Passing clouds.,35 km/h,↑,79%,1011 mbar,N/A
2020-01-03,20:30,,25 °C,Clear.,30 km/h,↑,79%,1011 mbar,16 km
2020-01-03,21:00,,25 °C,Clear.,22 km/h,↑,74%,1011 mbar,16 km
2020-01-03,21:30,,25 °C,Clear.,15 km/h,↑,74%,1012 mbar,16 km
2020-01-03,22:00,,25 °C,Passing clouds.,19 km/h,↑,74%,1012 mbar,N/A
2020-01-03,22:30,,24 °C,Passing clouds.,15 km/h,↑,78%,1012 mbar,N/A
2020-01-03,23:00,,24 °C,Passing clouds.,19 km/h,↑,78%,1012 mbar,N/A
2020-01-03,23:30,,24 °C,Passing clouds.,19 km/h,↑,78%,1011 mbar,N/A
2020-01-04,"00:00 Sat, 4 Jan",,24 °C,Passing clouds.,17 km/h,↑,78%,1011 mbar,N/A
2020-01-04,00:30,,23 °C,Clear.,13 km/h,↑,83%,1011 mbar,16 km
2020-01-04,01:00,,23 °C,Clear.,13 km/h,↑,83%,1011 mbar,16 km
2020-01-04,01:30,,23 °C,Clear.,15 km/h,↑,83%,1011 mbar,16 km
2020-01-04,02:00,,23 °C,Clear.,17 km/h,↑,83%,1010 mbar,16 km
2020-01-04,02:30,,23 °C,Clear.,11 km/h,↑,83%,1010 mbar,16 km
2020-01-04,03:00,,23 °C,Clear.,No wind,↑,83%,1010 mbar,16 km
2020-01-04,03:30,,23 °C,Clear.,No wind,↑,83%,1009 mbar,16 km
2020-01-04,04:00,,23 °C,Clear.,No wind,↑,83%,1009 mbar,16 km
2020-01-04,04:30,,23 °C,Passing clouds.,6 km/h,↑,83%,1010 mbar,N/A
2020-01-04,05:00,,23 °C,Clear.,No wind,↑,83%,1010 mbar,16 km
2020-01-04,05:30,,23 °C,Clear.,No wind,↑,83%,1010 mbar,16 km
2020-01-04,06:00,,23 °C,Sunny.,2 km/h,↑,83%,1010 mbar,16 km
2020-01-04,06:30,,23 °C,Sunny.,2 km/h,↑,83%,1010 mbar,16 km
2020-01-04,07:00,,24 °C,Clear.,9 km/h,↑,78%,1010 mbar,9 km
2020-01-04,07:30,,25 °C,Sunny.,11 km/h,↑,79%,1010 mbar,16 km
2020-01-04,08:00,,26 °C,Sunny.,13 km/h,↑,70%,1010 mbar,16 km
2020-01-04,08:30,,27 °C,Sunny.,15 km/h,↑,66%,1010 mbar,16 km
2020-01-04,09:00,,28 °C,Sunny.,15 km/h,↑,58%,1010 mbar,16 km
2020-01-04,09:30,,30 °C,Sunny.,15 km/h,↑,55%,1009 mbar,16 km
2020-01-04,10:00,,32 °C,Sunny.,17 km/h,↑,46%,1009 mbar,16 km
2020-01-04,10:30,,34 °C,Clear.,13 km/h,↑,41%,1008 mbar,9 km
2020-01-04,11:00,,36 °C,Clear.,7 km/h,↑,34%,1008 mbar,9 km
2020-01-04,11:30,,38 °C,Clear.,11 km/h,↑,31%,1007 mbar,9 km
2020-01-04,12:00,,38 °C,Sunny.,9 km/h,↑,31%,1007 mbar,16 km
2020-01-04,12:30,,41 °C,Clear.,13 km/h,↑,25%,1006 mbar,9 km
2020-01-04,13:00,,42 °C,Clear.,17 km/h,↑,22%,1006 mbar,9 km
2020-01-04,13:30,,42 °C,Clear.,20 km/h,↑,22%,1005 mbar,8 km
2020-01-04,14:00,,41 °C,Clear.,19 km/h,↑,25%,1005 mbar,9 km
2020-01-04,14:30,,39 °C,Clear.,19 km/h,↑,26%,1004 mbar,9 km
2020-01-04,15:00,,39 °C,Sunny.,24 km/h,↑,26%,1004 mbar,16 km
2020-01-04,15:30,,38 °C,Sunny.,33 km/h,↑,25%,1004 mbar,16 km
2020-01-04,16:00,,37 °C,Sunny.,35 km/h,↑,27%,1004 mbar,16 km
2020-01-04,16:30,,36 °C,Sunny.,44 km/h,↑,30%,1003 mbar,16 km
2020-01-04,17:00,,35 °C,Sunny.,44 km/h,↑,32%,1003 mbar,16 km
2020-01-04,17:30,,36 °C,Sunny.,48 km/h,↑,30%,1003 mbar,16 km
2020-01-04,18:00,,35 °C,Sunny.,46 km/h,↑,30%,1003 mbar,16 km
2020-01-04,18:30,,35 °C,Sunny.,43 km/h,↑,28%,1003 mbar,16 km
2020-01-04,19:00,,35 °C,Sunny.,41 km/h,↑,28%,1003 mbar,16 km
2020-01-04,19:30,,34 °C,Sunny.,43 km/h,↑,28%,1003 mbar,16 km
2020-01-04,20:00,,35 °C,Sunny.,39 km/h,↑,28%,1004 mbar,16 km
2020-01-04,20:30,,35 °C,Clear.,33 km/h,↑,28%,1004 mbar,16 km
2020-01-04,21:00,,35 °C,Clear.,30 km/h,↑,28%,1004 mbar,16 km
2020-01-04,21:22,,30 °C,Clear.,30 km/h,↑,40%,1006 mbar,16 km
2020-01-04,21:31,,26 °C,Clear.,56 km/h,↑,54%,1007 mbar,7 km
2020-01-04,22:00,,24 °C,Clear.,61 km/h,↑,74%,1008 mbar,5 km
2020-01-04,22:05,,24 °C,Clear.,63 km/h,↑,74%,1008 mbar,5 km
2020-01-04,22:30,,24 °C,Clear.,70 km/h,↑,74%,1009 mbar,5 km
2020-01-04,23:00,,23 °C,Clear.,69 km/h,↑,78%,1009 mbar,5 km
2020-01-04,23:30,,23 °C,Clear.,65 km/h,↑,74%,1010 mbar,5 km
2020-01-05,"00:00 Sun, 5 Jan",,23 °C,Clear.,63 km/h,↑,74%,1011 mbar,5 km
2020-01-05,00:39,,22 °C,Clear.,54 km/h,↑,78%,1012 mbar,5 km
2020-01-05,01:00,,23 °C,Clear.,50 km/h,↑,78%,1012 mbar,5 km
2020-01-05,01:30,,22 °C,Clear.,46 km/h,↑,78%,1012 mbar,6 km
2020-01-05,02:00,,22 °C,Clear.,37 km/h,↑,73%,1013 mbar,7 km
2020-01-05,02:30,,22 °C,Clear.,35 km/h,↑,69%,1013 mbar,9 km
2020-01-05,03:00,,22 °C,Clear.,32 km/h,↑,65%,1013 mbar,16 km
2020-01-05,03:30,,22 °C,Mild.,32 km/h,↑,61%,1013 mbar,N/A
2020-01-05,04:00,,23 °C,Mild.,32 km/h,↑,57%,1014 mbar,N/A
2020-01-05,04:30,,23 °C,Mild.,30 km/h,↑,57%,1014 mbar,N/A
2020-01-05,05:00,,22 °C,Mild.,28 km/h,↑,57%,1015 mbar,N/A
2020-01-05,05:30,,22 °C,Clear.,30 km/h,↑,61%,1015 mbar,16 km
2020-01-05,06:00,,22 °C,Sunny.,30 km/h,↑,65%,1016 mbar,16 km
2020-01-05,06:18,,22 °C,Sunny.,33 km/h,↑,69%,1016 mbar,16 km
2020-01-05,06:30,,22 °C,Scattered clouds.,32 km/h,↑,69%,1016 mbar,9 km
2020-01-05,07:00,,22 °C,Scattered clouds.,35 km/h,↑,73%,1017 mbar,9 km
2020-01-05,07:30,,22 °C,Scattered clouds.,32 km/h,↑,73%,1018 mbar,8 km
2020-01-05,08:00,,22 °C,Partly sunny.,32 km/h,↑,73%,1018 mbar,8 km
2020-01-05,08:30,,22 °C,Broken clouds.,32 km/h,↑,73%,1018 mbar,9 km
2020-01-05,09:00,,22 °C,Broken clouds.,30 km/h,↑,73%,1018 mbar,8 km
2020-01-05,09:30,,23 °C,Partly sunny.,30 km/h,↑,69%,1018 mbar,8 km
2020-01-05,10:00,,23 °C,Partly sunny.,30 km/h,↑,69%,1018 mbar,7 km
2020-01-05,10:30,,23 °C,Partly sunny.,32 km/h,↑,74%,1018 mbar,7 km
2020-01-05,11:00,,23 °C,Broken clouds.,33 km/h,↑,65%,1018 mbar,7 km
2020-01-05,11:30,,23 °C,Broken clouds.,33 km/h,↑,65%,1018 mbar,8 km
2020-01-05,12:00,,23 °C,Scattered clouds.,33 km/h,↑,69%,1018 mbar,8 km
2020-01-05,12:30,,23 °C,Scattered clouds.,37 km/h,↑,69%,1018 mbar,7 km
2020-01-05,12:34,,24 °C,Scattered clouds.,35 km/h,↑,69%,1018 mbar,5 km
2020-01-05,13:00,,23 °C,Scattered clouds.,35 km/h,↑,69%,1018 mbar,5 km
2020-01-05,13:30,,23 °C,Scattered clouds.,35 km/h,↑,74%,1018 mbar,7 km
2020-01-05,14:00,,23 °C,Scattered clouds.,37 km/h,↑,74%,1018 mbar,7 km
2020-01-05,14:30,,23 °C,Smoke.,37 km/h,↑,69%,1018 mbar,5 km
2020-01-05,15:00,,23 °C,Broken clouds.,37 km/h,↑,69%,1018 mbar,6 km
2020-01-05,15:30,,23 °C,Broken clouds.,39 km/h,↑,74%,1018 mbar,6 km
2020-01-05,16:00,,22 °C,Broken clouds.,39 km/h,↑,69%,1018 mbar,8 km
2020-01-05,16:30,,22 °C,Broken clouds.,39 km/h,↑,61%,1018 mbar,8 km
2020-01-05,17:00,,22 °C,Broken clouds.,39 km/h,↑,65%,1019 mbar,8 km
2020-01-05,17:30,,22 °C,Broken clouds.,39 km/h,↑,61%,1019 mbar,9 km
2020-01-05,18:00,,22 °C,Broken clouds.,39 km/h,↑,65%,1019 mbar,9 km
2020-01-05,18:30,,21 °C,Broken clouds.,39 km/h,↑,73%,1020 mbar,9 km
2020-01-05,19:00,,22 °C,Broken clouds.,33 km/h,↑,57%,1020 mbar,N/A
2020-01-05,19:30,,22 °C,Partly sunny.,39 km/h,↑,57%,1021 mbar,N/A
2020-01-05,20:00,,22 °C,Sunny.,33 km/h,↑,57%,1021 mbar,16 km
2020-01-05,20:30,,22 °C,Clear.,32 km/h,↑,61%,1022 mbar,16 km
2020-01-05,21:00,,21 °C,Clear.,32 km/h,↑,60%,1022 mbar,16 km
2020-01-05,21:30,,22 °C,Partly cloudy.,32 km/h,↑,61%,1023 mbar,N/A
2020-01-05,22:00,,22 °C,Partly cloudy.,32 km/h,↑,57%,1023 mbar,N/A
2020-01-05,22:30,,21 °C,Passing clouds.,26 km/h,↑,60%,1023 mbar,N/A
2020-01-05,23:00,,21 °C,Partly cloudy.,20 km/h,↑,64%,1023 mbar,N/A
2020-01-05,23:30,,21 °C,Partly cloudy.,24 km/h,↑,60%,1023 mbar,N/A
2020-01-06,"00:00 Mon, 6 Jan",,21 °C,Passing clouds.,24 km/h,↑,60%,1022 mbar,N/A
2020-01-06,00:30,,21 °C,Mild.,22 km/h,↑,60%,1022 mbar,N/A
2020-01-06,01:00,,21 °C,Mild.,19 km/h,↑,60%,1022 mbar,N/A
2020-01-06,01:30,,21 °C,Mild.,13 km/h,↑,64%,1021 mbar,N/A
2020-01-06,02:00,,20 °C,Mild.,11 km/h,↑,64%,1021 mbar,N/A
2020-01-06,02:30,,20 °C,Mild.,4 km/h,↑,69%,1021 mbar,N/A
2020-01-06,03:00,,20 °C,Mild.,No wind,↑,69%,1021 mbar,N/A
2020-01-06,03:30,,20 °C,Mild.,No wind,↑,69%,1020 mbar,N/A
2020-01-06,04:00,,21 °C,Mild.,11 km/h,↑,69%,1019 mbar,N/A
2020-01-06,04:30,,21 °C,Mild.,11 km/h,↑,73%,1019 mbar,N/A
2020-01-06,05:00,,20 °C,Sprinkles. Partly cloudy.,13 km/h,↑,73%,1019 mbar,N/A
2020-01-06,05:30,,21 °C,Sprinkles. Partly cloudy.,13 km/h,↑,69%,1020 mbar,N/A
2020-01-06,06:00,,21 °C,Partly sunny.,15 km/h,↑,69%,1020 mbar,N/A
2020-01-06,06:30,,22 °C,Broken clouds.,15 km/h,↑,65%,1020 mbar,N/A
2020-01-06,07:00,,22 °C,Broken clouds.,15 km/h,↑,65%,1021 mbar,N/A
2020-01-06,07:30,,22 °C,Broken clouds.,19 km/h,↑,65%,1021 mbar,N/A
2020-01-06,08:00,,22 °C,Broken clouds.,24 km/h,↑,65%,1020 mbar,N/A
2020-01-06,08:30,,22 °C,Broken clouds.,20 km/h,↑,65%,1020 mbar,N/A
2020-01-06,09:00,,22 °C,Broken clouds.,17 km/h,↑,65%,1021 mbar,N/A
2020-01-06,09:30,,22 °C,Broken clouds.,20 km/h,↑,65%,1020 mbar,N/A
2020-01-06,10:00,,23 °C,Partly sunny.,19 km/h,↑,65%,1020 mbar,N/A
2020-01-06,10:30,,23 °C,Partly sunny.,17 km/h,↑,61%,1020 mbar,N/A
2020-01-06,11:00,,22 °C,Partly sunny.,17 km/h,↑,69%,1020 mbar,N/A
2020-01-06,11:30,,23 °C,Partly sunny.,19 km/h,↑,61%,1020 mbar,N/A
2020-01-06,12:00,,23 °C,Partly sunny.,19 km/h,↑,61%,1020 mbar,N/A
2020-01-06,12:30,,22 °C,Partly sunny.,15 km/h,↑,69%,1020 mbar,N/A
2020-01-06,13:00,,23 °C,Partly sunny.,17 km/h,↑,65%,1019 mbar,N/A
2020-01-06,13:30,,24 °C,Partly sunny.,20 km/h,↑,61%,1019 mbar,N/A
2020-01-06,14:00,,24 °C,Partly sunny.,20 km/h,↑,61%,1018 mbar,N/A
2020-01-06,14:30,,25 °C,Partly sunny.,20 km/h,↑,61%,1018 mbar,N/A
2020-01-06,15:00,,24 °C,Partly sunny.,24 km/h,↑,61%,1018 mbar,N/A
2020-01-06,15:30,,23 °C,Partly sunny.,20 km/h,↑,65%,1017 mbar,N/A
2020-01-06,16:00,,23 °C,Partly sunny.,20 km/h,↑,69%,1017 mbar,N/A
2020-01-06,16:30,,23 °C,Partly sunny.,20 km/h,↑,69%,1017 mbar,N/A
2020-01-06,17:00,,23 °C,Partly sunny.,24 km/h,↑,69%,1017 mbar,N/A
2020-01-06,17:30,,23 °C,Partly sunny.,26 km/h,↑,74%,1017 mbar,N/A
2020-01-06,18:00,,23 °C,Broken clouds.,22 km/h,↑,69%,1017 mbar,N/A
2020-01-06,18:18,,23 °C,Broken clouds.,17 km/h,↑,74%,1017 mbar,N/A
2020-01-06,18:30,,22 °C,Thundershowers. Broken clouds.,15 km/h,↑,78%,1018 mbar,N/A
2020-01-06,19:00,,22 °C,Sprinkles. Broken clouds.,17 km/h,↑,78%,1018 mbar,N/A
2020-01-06,19:30,,22 °C,Sprinkles. Broken clouds.,15 km/h,↑,78%,1018 mbar,N/A
2020-01-06,20:00,,22 °C,Sprinkles. Broken clouds.,17 km/h,↑,83%,1019 mbar,N/A
2020-01-06,20:30,,21 °C,Light rain. Passing clouds.,20 km/h,↑,88%,1019 mbar,N/A
2020-01-06,21:00,,21 °C,Light rain. Partly cloudy.,9 km/h,↑,88%,1019 mbar,N/A
2020-01-06,21:30,,21 °C,Sprinkles. Partly cloudy.,11 km/h,↑,94%,1020 mbar,N/A
2020-01-06,22:09,,21 °C,Scattered showers. Partly cloudy.,11 km/h,↑,94%,1020 mbar,N/A
2020-01-06,22:30,,21 °C,Scattered showers. Partly cloudy.,13 km/h,↑,94%,1019 mbar,N/A
2020-01-06,23:00,,21 °C,Sprinkles. Partly cloudy.,9 km/h,↑,94%,1019 mbar,N/A
2020-01-06,23:30,,21 °C,Sprinkles. Passing clouds.,15 km/h,↑,94%,1018 mbar,N/A
